[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000381s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000628s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000197s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000241s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000132s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000178s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.005385s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005442s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000509s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000604s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000333s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000827s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002389s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.003493s ]
[ 2013-01-05T20:02:22+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003550s ]
[ 2013-01-05T20:02:31+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:02:31+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000266s ]
[ 2013-01-05T20:02:31+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000373s ]
[ 2013-01-05T20:02:31+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
