[ 2013-01-07T17:28:02+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-07T17:28:02+08:00 ] /Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002952s ]
[ 2013-01-07T17:28:02+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.014559s ]
[ 2013-01-07T17:28:02+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  7195a62edfd11a40a68c77ff40ee98a6 RBAC.class.php 第 180 行.
[ 2013-01-07T17:28:02+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  _ACCESS_LIST RBAC.class.php 第 184 行.
[ 2013-01-07T17:28:02+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  authId CommonAction.class.php 第 11 行.
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.043579s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.043745s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000216s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000280s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.034274s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.034419s ]
[ 2013-01-07T17:28:07+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.061915s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061989s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.010013s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000935s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000406s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000854s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012364s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.005980s ]
[ 2013-01-07T17:28:08+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.006045s ]
